Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,1600.000000,1650.000000,1555.000000,1600.000000,1537.712524,1512793600
2021-12-01,1605.000000,1635.000000,1545.000000,1615.000000,1552.128540,758672000
2022-01-01,1615.000000,1730.000000,1595.000000,1640.000000,1576.155273,873812800
2022-02-01,1640.000000,1695.000000,1520.000000,1645.000000,1580.960571,600754100
2022-03-01,1635.000000,1690.000000,1575.000000,1610.000000,1547.323120,858491900
2022-04-01,1610.000000,1685.000000,1540.000000,1640.000000,1576.155273,735184400
2022-05-01,1640.000000,1675.000000,1530.000000,1675.000000,1609.792725,940737000
2022-06-01,1675.000000,1720.000000,1585.000000,1660.000000,1630.385010,916262800
2022-07-01,1670.000000,1735.000000,1585.000000,1620.000000,1591.098633,786887600
2022-08-01,1620.000000,1680.000000,1565.000000,1680.000000,1650.028198,998113900
2022-09-01,1680.000000,1930.000000,1635.000000,1830.000000,1797.352051,1056608500
2022-10-01,1830.000000,2080.000000,1790.000000,2050.000000,2013.427246,1052474800
2022-11-01,2050.000000,2150.000000,1875.000000,2070.000000,2033.070435,972451000
2022-12-01,2050.000000,2170.000000,1960.000000,2090.000000,2052.713623,627141100
2023-01-01,2090.000000,2160.000000,2000.000000,2060.000000,2023.248779,455784900
2023-02-01,2060.000000,2360.000000,2030.000000,2110.000000,2072.356689,641971700
2023-03-01,2100.000000,2350.000000,2040.000000,2100.000000,2062.535156,620154400
2023-04-01,2100.000000,2150.000000,2020.000000,2120.000000,2082.178467,420443000
2023-05-01,2120.000000,2200.000000,2020.000000,2030.000000,1993.784058,867938000
2023-06-01,2030.000000,2100.000000,1920.000000,2050.000000,2050.000000,583638300
2023-07-01,2050.000000,2090.000000,1885.000000,1915.000000,1915.000000,932711500
2023-08-01,1900.000000,1910.000000,1770.000000,1815.000000,1815.000000,739557300
2023-09-01,1820.000000,1865.000000,1660.000000,1755.000000,1755.000000,703955100
2023-10-01,1750.000000,1870.000000,1585.000000,1690.000000,1690.000000,519674800
2023-11-01,1670.000000,1690.000000,1550.000000,1615.000000,1615.000000,800123300
2023-12-01,1610.000000,1735.000000,1555.000000,1610.000000,1610.000000,596489600
